Name,URL,Address,Trust,Postcode,ID,Hospital,Rating,Care Quality Commission inspection ratings,Friends and Family Test score: A&E,Friends and Family Test Score: Community,Friends and Family Test score: Inpatient,Friends and Family Test score: Maternity,Friends and Family test score: Outpatients,Friends and Family Test score: Staff - Care,Friends and Family Test score: Staff - Work,Friends and Family Test score: Mental Health,Friends and Family Test score: Ambulance patient transport
Bootham Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=118887,"The Driveway Building, Bootham Park Hospital, Bootham, York, YO30 7BY","Tees, Esk and Wear Valleys NHS Foundation Trust",YO30 7BY,118887,Bootham Park Hospital,NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
"Cross Lane Hospital, Scarborough",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2338,"Cross Lane, Scarborough, North Yorkshire, YO12 6DN","Tees, Esk and Wear Valleys NHS Foundation Trust",YO12 6DN,2338,"Cross Lane Hospital, Scarborough",NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
Foss Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=151502,"Haxby Road, York, YO31 8TA","Tees, Esk and Wear Valleys NHS Foundation Trust",YO31 8TA,151502,Foss Park Hospital,NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
"Lanchester Road Hospital, Durham",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=3160,"Lanchester Road, Durham, DH1 5RD","Tees, Esk and Wear Valleys NHS Foundation Trust",DH1 5RD,3160,"Lanchester Road Hospital, Durham",NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
"Mental health services at The Friarage Hospital, Northallerton",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=89984,"Northallerton, DL6 1JG","Tees, Esk and Wear Valleys NHS Foundation Trust",DL6 1JG,89984,Friarage Hospital,NA,Requires Improvement,90%,NA,97%,NA,95%,79%,46%,NA,NA
Redcar Primary Care Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=135724,"West Dyke Road, Redcar, Cleveland, TS10 4NW","Tees, Esk and Wear Valleys NHS Foundation Trust",TS10 4NW,135724,Redcar Primary Care Hospital,NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
Roseberry Park Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111348,"Marton Road, Middlesbrough, Cleveland, TS4 3AF","Tees, Esk and Wear Valleys NHS Foundation Trust",TS4 3AF,111348,Roseberry Park Hospital,NA,No rating,NA,NA,NA,NA,NA,76%,68%,85%,NA
"Sandwell Park Hospital, Hartlepool",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2430,"Lancaster Road, Hartlepool, TS24 8LN","Tees, Esk and Wear Valleys NHS Foundation Trust",TS24 8LN,2430,"Sandwell Park Hospital, Hartlepool",NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
"Tees, Esk, Wear Valley NHS Trust (Durham)",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2736,"Trust Headquarters, West Park Hospital, Edward Pease Way, Darlington, DL2 2TS","Tees, Esk and Wear Valleys NHS Foundation Trust",DL2 2TS,2736,"Tees, Esk, Wear Valley NHS Trust (Durham)",NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
The Briary Wing at Harrogate District Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=89985,"The Briary Wing, Harrogate District Hospital, Lancaster Park Road, Harrogate, North Yorkshire, HG2 7SX","Tees, Esk and Wear Valleys NHS Foundation Trust",HG2 7SX,89985,Harrogate District Hospital,NA,Good,94%,96%,96%,NA,95%,81%,65%,NA,NA
"West Lane Hospital, Middlesbrough",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2646,"Acklam Road, Middlesbrough, TS5 4EE","Tees, Esk and Wear Valleys NHS Foundation Trust",TS5 4EE,2646,"West Lane Hospital, Middlesbrough",NA,NA,NA,NA,NA,NA,NA,76%,68%,85%,NA
"West Park Hospital, Darlington",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2776,"Edward Pease Way, Darlington, Durham, DL2 2TS","Tees, Esk and Wear Valleys NHS Foundation Trust",DL2 2TS,2776,"West Park Hospital, Darlington",NA,No rating,NA,NA,NA,NA,NA,76%,68%,85%,NA
"Whitby, Scarborough and Ryedale IAPT",https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=102436,"Springhill, Whitby Community Hospital, Whitby, North Yorkshire, YO21 1DP","Tees, Esk and Wear Valleys NHS Foundation Trust",YO21 1DP,102436,Whitby Hospital,NA,No rating,NA,87%,NA,NA,NA,63%,46%,92%,NA
The Christie At Oldham,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=693,"Royal Oldham Hospital, Rochdale Road, Oldham, Lancashire, OL1 2JH",The Christie NHS Foundation Trust,OL1 2JH,693,Royal Oldham Hospital,NA,Requires Improvement,82%,92%,91%,NA,90%,74%,57%,NA,NA
The Christie main site,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=101,"550 Wilmslow Road, Withington, Manchester, Greater Manchester, M20 4BX",The Christie NHS Foundation Trust,M20 4BX,101,The Christie main site,NA,Outstanding,NA,NA,96%,NA,98%,95%,67%,NA,NA
The Clatterbridge Cancer Centre (Wirral),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=105001,"Clatterbridge Road, Bebington, Wirral, CH63 4JY",The Clatterbridge Cancer Centre NHS Foundation Trust,CH63 4JY,105001,The Clatterbridge Cancer Centre (Wirral),NA,Good,NA,NA,95%,NA,97%,92%,62%,NA,NA
Corbett Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1860,"Vicarage Road, Stourbridge, West Midlands, DY8 4JB",The Dudley Group NHS Foundation Trust,DY8 4JB,1860,Corbett Hospital,NA,Inadequate,NA,91%,NA,NA,90%,85%,73%,NA,NA
Guest Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1502,"Tipton Road, Dudley, West Midlands, DY1 4SE",The Dudley Group NHS Foundation Trust,DY1 4SE,1502,Guest Hospital,NA,NA,NA,91%,NA,NA,90%,85%,73%,NA,NA
Russells Hall Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=882,"Pensnett Road, Dudley, West Midlands, DY1 2HQ",The Dudley Group NHS Foundation Trust,DY1 2HQ,882,Russells Hall Hospital,NA,Requires Improvement,75%,91%,95%,NA,90%,85%,73%,NA,NA
Hillingdon Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=676,"Pield Heath Road, Uxbridge, Middlesex, UB8 3NN",The Hillingdon Hospitals NHS Foundation Trust,UB8 3NN,676,Hillingdon Hospital,NA,Inadequate,53%,NA,97%,NA,93%,50%,50%,NA,NA
Mount Vernon Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=270,"Rickmansworth Road, Northwood, Middlesex, HA6 2RN",The Hillingdon Hospitals NHS Foundation Trust,HA6 2RN,270,Mount Vernon Hospital,NA,Requires Improvement,93%,NA,98%,NA,93%,50%,50%,NA,NA
Royal Free Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147481,"Pond Street, London, Greater London, NW3 2QG",The Hillingdon Hospitals NHS Foundation Trust,NW3 2QG,147481,Royal Free Hospital,NA,Requires Improvement,83%,NA,85%,NA,89%,78%,57%,84%,NA
Bensham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=152341,"Bensham Hospital, Fontwell Drive, Gateshead, NE8 4YL",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE8 4YL,152341,Bensham Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bishop Auckland General Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119714,"Cockton Hill Road, Bishop Auckland, County Durham, DL14 6AD",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,DL14 6AD,119714,Bishop Auckland Hospital,NA,NA,NA,98%,100%,NA,98%,74%,59%,NA,NA
BMI Woodlands Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=135591,"Morton Park Way, Darlington, County Durham, DL1 4PL",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,DL1 4PL,135591,BMI Woodlands Hospital,NA,Good,NA,NA,100%,NA,NA,NA,NA,NA,NA
Darlington Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119716,"Hollyhurst Road, Darlington, County Durham, DL3 6HX",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,DL3 6HX,119716,Darlington Memorial Hospital,NA,Good,91%,98%,98%,NA,98%,74%,59%,NA,NA
Dryburn Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119717,"North Road, Durham, County Durham, DH1 5TW",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,DH1 5TW,119717,University Hospital Of North Durham,NA,Good,85%,98%,97%,NA,98%,74%,59%,NA,NA
Freeman Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=924,"Freeman Road, High Heaton, Newcastle Upon Tyne, Tyne and Wear, NE7 7DN",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE7 7DN,924,Freeman Hospital,NA,Outstanding,NA,95%,97%,NA,89%,96%,81%,NA,NA
Great North Childrens Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1093,"Queen Victoria Road, New Victoria Wing, Royal Victoria Infirmary, Newcastle Upon Tyne, NE1 4LP",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE1 4LP,1093,Great North Childrens Hospital,NA,NA,NA,95%,NA,NA,89%,96%,81%,NA,NA
James Cook University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119712,"Marton Road, Middlesbrough, Cleveland, TS4 3BW",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,TS4 3BW,119712,The James Cook University Hospital,NA,Requires Improvement,79%,NA,97%,NA,95%,79%,46%,NA,NA
Keswick Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119718,"Crosthwaite Road, Keswick, Cumbria, CA12 5PH",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,CA12 5PH,119718,Keswick (Mary Hewetson) Community Hospital,NA,No rating,NA,96%,NA,NA,95%,72%,57%,NA,NA
Morpeth Cottage Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119679,"South Road, Morpeth, Northumberland, NE61 2BT",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE61 2BT,119679,Morpeth Cottage Hospital,NA,NA,NA,95%,NA,NA,89%,96%,81%,NA,NA
Newcastle Dental Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1236,"Richardson Road, Newcastle Upon Tyne, Tyne and Wear, NE2 4AZ",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE2 4AZ,1236,Newcastle Dental Hospital,NA,NA,NA,95%,0,NA,89%,96%,81%,NA,NA
Newcastle Hospitals @ Cramlington,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128320,"South Mall, Manor Walks Shopping Centre, Cramlington, Northumberland, NE23 6UT",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE23 6UT,128320,Newcastle Hospitals @ Cramlington,NA,NA,NA,95%,NA,NA,89%,96%,81%,NA,NA
Nuffield Hospital Newcastle Upon Tyne,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119678,"Newcastle Nuffield Hospital, Clayton Road, Newcastle Upon Tyne, Tyne And Wear, NE2 1JP",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE2 1JP,119678,"Nuffield Health, Newcastle-upon-Tyne Hospital",NA,Good,NA,NA,100%,NA,98%,NA,NA,NA,NA
Penrith Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=115083,"Bridge Lane, Penrith, Cumbria, CA11 8HX",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,CA11 8HX,115083,Penrith Hospital,NA,No rating,NA,96%,NA,NA,95%,72%,57%,NA,NA
Sunderland Royal Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119713,"Kayll Road, Sunderland, Tyne And Wear, SR4 7TP",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,SR4 7TP,119713,Sunderland Royal Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Royal Victoria Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1232,"Queen Victoria Road, New Victoria Wing, Royal Victoria Infirmary, Newcastle Upon Tyne, NE1 4LP",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE1 4LP,1232,The Royal Victoria Infirmary,NA,Outstanding,90%,95%,97%,NA,89%,96%,81%,NA,NA
University Hospital Of Hartlepool,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119711,"Holdforth Road, Hartlepool, Cleveland, TS24 9AH",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,TS24 9AH,119711,University Hospital Of Hartlepool,NA,Good,NA,100%,98%,NA,94%,82%,79%,NA,NA
University Hospital Of North Tees,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119710,"Hardwick Road, Stockton-On-Tees, Cleveland, TS19 8PE",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,TS19 8PE,119710,University Hospital Of North Tees,NA,Good,100%,100%,97%,NA,94%,82%,79%,NA,NA
Walkergate Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2191,"Benfield Road, Benfield Road, Newcastle Upon Tyne, Tyne and Wear, NE6 4QD",The Newcastle Upon Tyne Hospitals NHS Foundation Trust,NE6 4QD,2191,Walkergate Park,NA,Outstanding,NA,NA,NA,NA,NA,76%,69%,88%,NA
Cheshunt Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99645,"King Arthur Court, Cheshunt, Waltham Cross, Hertfordshire, EN8 8XN",The Princess Alexandra Hospital NHS Trust,EN8 8XN,99645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herts and Essex Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1779,"Haymeads Lane, Bishop's Stortford, Hertfordshire, CM23 5JH",The Princess Alexandra Hospital NHS Trust,CM23 5JH,1779,Herts & Essex Hospital,NA,NA,NA,96%,NA,NA,NA,80%,47%,91%,NA
Princess Alexandra Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=2013,"Hamstel Road, Harlow, Essex, CM20 1QX",The Princess Alexandra Hospital NHS Trust,CM20 1QX,2013,Princess Alexandra Hospital,NA,Requires Improvement,95%,NA,100%,NA,97%,78%,65%,NA,NA
Princess Alexandra Private Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128530,"Hamstel Road, Harlow, Essex, CM20 1QX",The Princess Alexandra Hospital NHS Trust,CM20 1QX,128530,Princess Alexandra Hospital,NA,Requires Improvement,95%,NA,100%,NA,97%,78%,65%,NA,NA
St Margaret's Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=105920,"The Plain, Epping, Essex, CM16 6TN",The Princess Alexandra Hospital NHS Trust,CM16 6TN,105920,St Margaret's Hospital,NA,NA,NA,NA,NA,NA,97%,78%,65%,NA,NA
Dereham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99626,"Northgate, Dereham, Norfolk, NR19 2EX","The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",NR19 2EX,99626,Dereham Hospital,NA,NA,NA,98%,NA,NA,NA,82%,64%,NA,NA
Fitzwilliam Private Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=149014,"Milton Way, Bretton, Peterborough, Cambridgeshire, PE3 9AQ","The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",PE3 9AQ,149014,Fitzwilliam Hospital,NA,Good,NA,NA,98%,NA,99%,NA,NA,NA,NA
Norfolk And Norwich University Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=149389,"Colney Lane, Colney, Norwich, Norfolk, NR4 7UY","The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",NR4 7UY,149389,Norfolk and Norwich University Hospital,NA,Requires Improvement,79%,NA,95%,NA,95%,73%,50%,NA,NA
North Cambridgeshire Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=16,"The Park, Wisbech, Cambridgeshire, PE13 3AB","The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",PE13 3AB,16,North Cambridgeshire Hospital - Cambridgeshire and Peterborough NHS Foundation Trust,NA,No rating,NA,98%,NA,NA,NA,74%,65%,91%,NA
Sandringham Private Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=149015,"Gayton Road, Gaywood, King's Lynn, Norfolk, PE30 4HJ","The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",PE30 4HJ,149015,BMI The Sandringham Hospital,NA,Good,NA,NA,100%,NA,NA,NA,NA,NA,NA
Swaffham Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99526,"Sporle Road, Swaffham, Norfolk, PE37 7HL","The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",PE37 7HL,99526,Swaffham Community Hospital,NA,No rating,NA,98%,NA,NA,NA,82%,64%,NA,NA
The Queen Elizabeth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=493,"Gayton Road, King's Lynn, Norfolk, PE30 4ET","The Queen Elizabeth Hospital, King's Lynn. NHS Foundation Trust",PE30 4ET,493,The Queen Elizabeth Hospital,NA,Inadequate,88%,NA,94%,NA,98%,63%,44%,NA,NA
Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=119350,"Rotherham Nhs Foundation Trust, Moorgate Road, Rotherham, South Yorkshire, S60 2UD",The Rotherham NHS Foundation Trust,S60 2UD,119350,Rotherham Hospital,NA,Requires Improvement,67%,98%,97%,NA,96%,76%,77%,NA,NA
Doncaster & Bassetlaw Hospitals,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=111275,"Doncaster Royal Infirmary, Thorne Road, Doncaster, South Yorkshire, DN2 5LT",The Rotherham NHS Foundation Trust,DN2 5LT,111275,Doncaster Royal Infirmary,NA,Good,NA,NA,98%,NA,97%,80%,68%,NA,NA
Doncaster Gate Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113735,"Doncaster Gate, Rotherham, South Yorkshire, S65 1DA",The Rotherham NHS Foundation Trust,S65 1DA,113735,Doncaster Gate Hospital,NA,NA,NA,98%,NA,NA,96%,76%,77%,NA,NA
Leicester Royal Infirmary,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=147255,"Infirmary Square, Leicester, Leicestershire, LE1 5WW",The Rotherham NHS Foundation Trust,LE1 5WW,147255,Leicester Royal Infirmary,NA,Requires Improvement,92%,NA,96%,NA,96%,78%,61%,NA,NA
Rotherham Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=272,"Moorgate Road, Rotherham, S60 2UD",The Rotherham NHS Foundation Trust,S60 2UD,272,Rotherham Hospital,NA,Requires Improvement,67%,98%,97%,NA,96%,76%,77%,NA,NA
Blandford Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113767,"Milldown Road, Blandford Forum, Dorset, DT11 7DD",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,DT11 7DD,113767,Blandford Community Hospital,NA,NA,NA,96%,NA,NA,NA,82%,67%,91%,NA
Boscombe Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113745,"11 Shelley Road, Bournemouth, Dorset, BH1 4JQ",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,BH1 4JQ,113745,Boscombe Community Hospital,NA,NA,NA,NA,NA,NA,98%,87%,74%,NA,NA
Christchurch Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=497,"Fairmile Road, Christchurch, Dorset, BH23 2JX",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,BH23 2JX,497,Christchurch Hospital,NA,Good,NA,NA,NA,NA,98%,87%,74%,NA,NA
Dorset County Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113746,"Williams Avenue, Dorchester, Dorset, DT1 2JY",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,DT1 2JY,113746,Dorset County Hospital,NA,Good,88%,NA,98%,NA,95%,84%,68%,NA,NA
Macmillan Unit,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=28,"Christchurch Hospital, Fairmile Road, Christchurch, Dorset, BH23 2JX",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,BH23 2JX,28,Christchurch Hospital,NA,Good,NA,NA,NA,NA,98%,87%,74%,NA,NA
Milford On Sea War Memorial Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=89549,"Sea Road, Milford On Sea, Lymington, Hampshire, SO41 0PG",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,SO41 0PG,89549,Milford War Memorial Hospital,NA,NA,NA,97%,NA,NA,NA,87%,71%,86%,NA
Poole Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99723,"Longfleet Road, Poole, Dorset, BH15 2JB",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,BH15 2JB,99723,Poole Hospital,NA,NA,86%,NA,99%,NA,96%,84%,65%,NA,NA
Royal Bournemouth Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=180,"Castle Lane East, Bournemouth, Dorset, BH7 7DW",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,BH7 7DW,180,Royal Bournemouth Hospital,NA,Good,86%,NA,98%,NA,98%,87%,74%,NA,NA
Swanage Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=113747,"Queens Road, Swanage, Dorset, BH19 2ES",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,BH19 2ES,113747,Swanage Community Hospital,NA,No rating,NA,96%,NA,NA,NA,82%,67%,91%,NA
Wimborne Community Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=99717,"Victoria Road, Wimborne, Dorset, BH21 1ER",The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,BH21 1ER,99717,Victoria Hospital,NA,NA,NA,96%,NA,NA,NA,82%,67%,91%,NA
The Royal Marsden Hospital (Kingston),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=131254,"Galsworthy Road, Kingston Upon Thames, Surrey, KT2 7QB",The Royal Marsden NHS Foundation Trust,KT2 7QB,131254,Kingston Hospital,NA,Good,85%,NA,96%,NA,92%,84%,65%,NA,NA
The Royal Marsden Hospital (London),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=1416,"Fulham Road, London, Greater London, SW3 6JJ",The Royal Marsden NHS Foundation Trust,SW3 6JJ,1416,The Royal Marsden Hospital (London),NA,Outstanding,NA,NA,100%,NA,97%,97%,73%,NA,NA
The Royal Marsden Hospital (Surrey),https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=933,"Downs Road, Sutton, Surrey, SM2 5PT",The Royal Marsden NHS Foundation Trust,SM2 5PT,933,The Royal Marsden Hospital (Surrey),NA,Outstanding,NA,NA,100%,NA,97%,97%,73%,NA,NA
Droitwich Hospital,https://www.nhs.uk/Services/hospitals/Overview/DefaultView.aspx?id=128537,"St. Andrews Road, Droitwich, Worcestershire, WR9 8DN",The Royal Orthopaedic Hospital NHS Foundation Trust,WR9 8DN,128537,BMI The Droitwich Spa Hospital,NA,Requires Improvement,NA,NA,98%,NA,NA,NA,NA,NA,NA
